Year,Subject,Calendar Name,Created By,Updated By,Who,Location,Description,Tags,Session name
2021,"mapsf, a New Package for Thematic Mapping",Regular talks > Track B,UseR! 2021,UseR! 2021,"Giraud, Timothée",The Lounge #talk_spatial_analysis,"{mapsf} helps to design various cartographic representations such as proportional symbols, choropleth or typology maps. It also offers several functions to display layout elements that improve the graphic presentation of maps.

  
The aim of {mapsf} is to obtain thematic maps with the visual quality of those built with a classical mapping or GIS software while being lightweight, versatile and user-friendly. To achieve this goal, the package takes advantage of the features offered by {sf} and provides a limited number of simple mapping functions.

  
{mapsf} is the successor of {cartography}, it offers the same core features but it is simpler and more robust. Unlike other popular cartographic packages, it does not use grammar of graphics, it depends on a limited number of packages and displays georeferenced plots using base R graphics.

  
The main function of the package, mf\_map(), gives access to 9 map types: base maps, proportional or graduated symbols, choropleth maps, typology maps and various combinations of symbology. Many parameters are available to fine tune the cartographic representations. These parameters are the common ones found in GIS and automatic cartography tools (e.g. classification, color palettes, symbols sizes, legend layout...).

  
Some additional functions are dedicated to layout design (graphic themes, legends, scale bar, north arrow, title, credits…), map insets or map exports.

  
The development of {mapsf} follows the current best practices of the R ecosystem (CI/CD, coverage tests) and its documentation is enhanced by a vignette and a website.",Spatial analysis,3B - Spatial Analysis
2021,{fusen}: Create a package from Rmd files,Regular talks > Track C,UseR! 2021,UseR! 2021,"Rochette, Sébastien",The Lounge #talk_packages_2,"You know how to build a Rmarkdown for reproducibility, you were said or would like to put your work in a R package, but you think this is too much work? You do not understand where to put what and when? What if writing a Rmd was the same as writing a package? Let {fusen} help you with this task.

  
When you write a Rmarkdown file (or a vignette), you create a documentation for your analysis (or package). Inside, you write some functions, you apply your functions to examples and you maybe write some unit tests to verify the outputs. This is even more true if you follow this guide : ['Rmd first': When development starts with documentation](https://rtask.thinkr.fr/blog/rmd-first-when-development-starts-with-documentation/).

  
Why not transforming this workflow into a documented, tested and maintainable R package to ensure sustainability of your analyses ? To do so, you will need to move your functions and scripts in the correct place. Let {fusen} do this transformation for you!

  
{fusen} is first addressed to people who never wrote a package before but know how to write a RMarkdown file. Understanding package infrastructure and correctly settling it can be frightening. This package may help them do the first step!

  
{fusen} is also addressed to more advanced developers who are fed up with switching between R files, tests files, vignettes. In particular, when changing arguments of a function, we need to change examples, unit tests in multiple places. Here, you can do it in one place. No risk to forget one. Package {fusen} is himself built with himself, from Rmd template files stored in the appropriate place","Efficient programming, R in production",3C - R Packages 2
2021,An R package for the implementation of Efficiency Analysis Trees and the estimation of technical efficiency,Regular talks > Track A,UseR! 2021,UseR! 2021,"Esteve, Miriam",The Lounge #talk_ml_dm,"EAT is a new R package that includes functions to estimate production frontiers and technical efficiency measures using non-parametric techniques based on CART regression trees. The package implements the main algorithms associated with a new technique introduced to estimate the efficiency of a set of decision making units in Economics and Engineering through machine learning techniques, called Efficiency Analysis Trees (Esteve et al., 2020). It encompasses the estimation of radial measures, oriented Russell efficiency measures, the directional distance function, the weighted additive model, graphical representations of the production frontier using tree-shaped structures and the classification of input variable importance. In addition, it incorporates a code to carry out an adaptation of the Random Forest Algorithm to estimate technical efficiency. This work describes the methodology and application of the functions.",Data mining / Machine learning / Deep Learning and AI,3A - Machine Learning and Data Management
2021,"osmextract: An R package to download, convert, and import large OpenStreetMap datasets",Regular talks > Track B,UseR! 2021,UseR! 2021,"Gilardi, Andrea",The Lounge #talk_spatial_analysis,"OpenStreetMap (OSM) is an online database that provides open-access geographic and rich attribute data worldwide, representing a wide range of physical and human features, including roads, rivers, and political boundaries. OSM is the world’s largest open-access source of geographic vector data, comprising nodes (points), ways (lines and polygons) and relations (describing a wide range of entities). Practical applications include disaster response, transport planning, and service location. OSM datasets can be manually downloaded from the project’s servers directly or via the R package osmdata, which uses the Overpass API. Large 'extracts' are also available from external providers (such as geofabrik.de) in a compressed binary format based on protocol buffers. The aim of osmextract is to enable processing and import of such OSM extracts. The package is composed of three main functions that can be used to 1) match an input location with one of the OSM extracts, either via spatial matching or approximate string distance; 2) download the chosen file; 3) convert the compressed data to Geopackage format. The main function, named oe\_get(), returns sf objects. This workflow is effective for importing OSM extracts covering large geographical areas. Furthermore, the conversion process is based on GDAL routines, enabling customized spatial filters or SQL-like queries, further boosting import performance.",Spatial analysis,3B - Spatial Analysis
2021,Questions,Regular talks > Track C,UseR! 2021,UseR! 2021,All presenters in the session,The Lounge #talk_packages_2,Last questions for all the speakers,Community and Outreach,3C - R Packages 2
2021,Questions,Regular talks > Track A,UseR! 2021,UseR! 2021,All presenters in the session,The Lounge #talk_ml_dm,Last questions for all the speakers,Community and Outreach,3A - Machine Learning and Data Management
2021,Questions,Regular talks > Track B,UseR! 2021,UseR! 2021,All presenters in the session,The Lounge #talk_spatial_analysis,Last questions for all the speakers,Community and Outreach,3B - Spatial Analysis
2021,Let Me Google That for You – Measuring global trends using Google Trends,Regular talks > Track A,UseR! 2021,UseR! 2021,"Puhr, Harald",The Lounge #talk_trends_markets_models,"We present the globaltrends package as a flexible and user-friendly means to analyze data from Google Trends. Google offers public access to global search volumes from its search engine through the Google Trends portal. Users select keywords for which they want to obtain search volumes and specify time period and location (global, country, state) of interest. For these combinations of keywords, periods, and locations Google Trends provides search volumes that indicate the number of search queries submitted to the Google search engine. However, Google constrains users to batches of five keywords and normalizes results for each batch. Thereby, large-scale analysis and comparability across batches is impaired. By re-normalizing results to a set of user-defined baseline keywords, the globaltrends package overcomes these limitations. This gives users the opportunity to download and measure search scores i.e., volumes set to a common baseline, for several keywords across or within locations. In addition, users can visualize distributions, developments, and out-of-the-ordinary changes in global search scores or for specific locations. The package allows researchers and analysts to use these search scores to investigate global trends based on patterns within them. This offers insights such as degree of internationalization of firms and organizations or dissemination of political, social, or technological trends across the globe or within single countries.","Economics / Finance / Insurance, Social sciences","4A - Trends, Markets and Models"
2021,Visual Diagnostics for Constrained Optimisation with Application to Guided Tours,Regular talks > Track B,UseR! 2021,UseR! 2021,"Zhang, H. Sherry",The Lounge #talk_dataviz_spatial,"Guided tour searches for interesting low-dimensional views of high-dimensional data via optimising a projection pursuit index function. The first paper of projection pursuit by Friedman and Tukey (1974) stated that “the technique used for maximising the projection index strongly influences both the statistical and the computational aspects of the procedure.” While much work has been done in proposing indices in the literature, less has been done on evaluating the performance of the optimisers. In this paper, we implement a data collection object in the optimisation of projection pursuit guided tour and introduce visual diagnostics based on the data object collected. These diagnostics and this workflow can be applied to a broad class of optimisers, to assess their performance. An R package, ferrn, has been created to implement the diagnostics.","Data visualisation, Spatial analysis",4B - Data viz and Spatial Applications
2021,Computing Disposition Effect on Financial Market Data,Regular talks > Track A,UseR! 2021,UseR! 2021,"Mazzucchelli, Lorenzo; Zanotti, Marco",The Lounge #talk_trends_markets_models,"In recent years, an irrational phenomenon in financial markets is grabbing the attention of behavioral economists: the disposition effect. Firstly discovered by H. Shefrin and M. Statman (1985), the disposition effect consists in the realization that investors are more likely to sell an asset when it is gaining value compared to when it is losing value. A phenomenon which is closely related to sunk costs’ bias, diminishing sensitivity, and loss aversion.

  
From 1985 until now, the disposition effect has been documented in US retail stock investors as well as in foreign retail investors and even among professionals and institutions. By the time, it is a well-established fact that the disposition effect is a real behavioral anomaly that strongly influences the final profits (or losses) of investors. Furthermore, being able to correctly capture these irrational behaviors timely is even more important in periods of high financial volatility as nowadays.

  
The presentation focuses on the new dispositionEffect R package that allows to quickly evaluate the presence of disposition effect’s behaviors of an investor based solely on his transactions and the market prices of the traded assets. A simple step-by-step practical guide is presented to understand how to effectively use all the implemented functionalities. Finally, since financial data may be potentially huge in size, efficiency concerns are discussed and the parallelized versions of the functions are shown.","Economics / Finance / Insurance, Social sciences","4A - Trends, Markets and Models"
2021,The R Package diseq: Estimation Methods for Markets in Equilibrium and Disequilibrium,Regular talks > Track A,UseR! 2021,UseR! 2021,"Karapanagiotis, Pantelis",The Lounge #talk_trends_markets_models,"Market models constitute a major cornerstone of empirical research in industrial organization and macroeconomics. Previous literature in these fields has proposed a variety of estimation methods both for markets in equilibrium, which typically entail a market-clearing condition, and in disequilibrium, in which the primary identification condition comes from the short-side rule. Although methodologically attractive, the estimation methods of such models, in particular of the disequilibrium models, is computationally demanding and software providing simple, out-of-the-box methods for estimating them is scarce. Econometricians, therefore, mostly rely on their own implementations for estimating these models. This talk presents the R package Diseq, which provides functionality to simplify the estimation of models for markets in equilibrium and disequilibrium using full information maximum likelihood methods. The basic functionality of the package is presented based on the data and the classic analysis originally performed by Fair &amp; Jaffee (1972). The talk also gives an overview of the design of the package, presents the post-estimation analysis capabilities that accompany it, and provides statistical evidence of the computational performance of its functionality gathered via large-scale benchmarking simulations. Diseq is free software that is distributed under the MIT license as part of the R software project. It comprises a set of estimation tools, which are to a large extend not available from either alternative R packages or other statistical software projects.","Economics / Finance / Insurance, Social sciences","4A - Trends, Markets and Models"
2021,geofi-package: Facilitating the access to key spatial datasets in Finland,Regular talks > Track B,UseR! 2021,UseR! 2021,"Kainu, Markus",The Lounge #talk_dataviz_spatial,"There is a groving demand for presenting statistical data on map. COVID-19 launched a race across internet in spatial data visualization where aesthetics, usability and real-timeliness are of high value. The demand for real-time data favours solutions that can be scripted, automated and refactored quickly and for that purpose we developed geofi R-package to facilitate access to key Finnish geospatial datasets. <https://ropengov.github.io/geofi/> geofi combines resources of two Statistics Finland APIs: the regional classification API and spatial data API. Time-series of regional classifications are shipped as on-board data and larger spatial data is fetched through a WFS-api consisting of administrative borders, zipcodes and both population and statistical grids at various resolutions. Package aims at being a onboarding technology into R ecosystem with clear and concrete vignettes covering the basics of spatial data manipulation, working with attribute data and step-by-step instruction for creating maps both for static and interactive applications. This talk describes the main functions and design principles of the packages and makes comparison with similar packages such as geobr for Brazil and geouy for Uruguay.","Data visualisation, Spatial analysis",4B - Data viz and Spatial Applications
2021,Questions,Regular talks > Track A,UseR! 2021,UseR! 2021,All presenters in the session,The Lounge #talk_trends_markets_models,Last questions for all the speakers,Community and Outreach,"4A - Trends, Markets and Models"
2021,Virtual Environments: Using R as a Frontend for 3D Rendering of Digital Landscapes,Regular talks > Track B,UseR! 2021,UseR! 2021,"Mahoney, Michael J.",The Lounge #talk_dataviz_spatial,"This talk discusses a new approach to using R to create 3D landscape visualizations, which relies on external tooling designed specifically for detailed 3D rendering and interactive exploration. By using R as a frontend for high-performance rendering engines, users are able to quickly create data-defined renders which can then be interactively explored and manipulated. Two of the most promising engines for this approach are the (proprietary, source-available) Unity rendering engine, which excels at visualizing large swaths of land and the (free and open-source) Blender engine, which is well-adapted for visualizing smaller settings.

  
Our new {terrainr} package (available from CRAN) helps users quickly produce terrain surfaces from real-world data in Unity, visualizing environmental patterns and processes across large scales. Two new experimental packages, {mvdf} and {forthetrees}, focus on creating smaller-scale renders in Blender. Taken together, these packages suggest a way for users to create data-defined 3D renderings within R, using their preexisting coding abilities in the place of complex user interfaces to control powerful rendering engines. Our approach makes it possible for users to create renderings from data in these engines faster and easier than has been historically possible.","Data visualisation, Spatial analysis",4B - Data viz and Spatial Applications
2021,Questions,Regular talks > Track B,UseR! 2021,UseR! 2021,All presenters in the session,The Lounge #talk_dataviz_spatial,Last questions for all the speakers,Community and Outreach,4B - Data viz and Spatial Applications
2021,Elevator Pitches 2,Elevator Pitches,UseR! 2021,UseR! 2021,,The Lounge #elevator_pitches,"Elevator pitches (short videos and technical notes):

1. Make Your Computational Analysis Citable (Batool Almarzouq)
2. Structural connectivity in the Lower Uruguay River Forest (Adriana Rojas, Mariel Bazzalo, Natalia Morandeira)
3. Fitting the beta distribution for the intra-apiary dynamics study of the infestation rate with Varroa Destructor in honey bee colonies (Camila Miotti, Ana Molineri, Adriana Pacini, Emanuel Orellano, Marcelo Signorini, Agostina Giacobino)
4. C50 Classification of young Moroccan men and women not in employment, education or training (NEET). (Salima MANSOURI, Hafsa EL HAFYANI, Ichark LAFRAM)
5. Decision support using R and DataOps at a European Union bank regulator (Jonas Bergstrom, Nicolas Pochet)
6. fipp : a bridge between domain knowledge and model specification in Dirichlet Process Mixtures and Mixture of Finite Mixtures (Jan Greve, Bettina Grün, Gertraud Malsiner-Walli, Sylvia Frühwirth-Schnatter)
7. An integrated teaching environment for R with {learnitdown} (Philippe Grosjean, Guyliann Engels)
8. Visualization of the one-way flexible ANOVA tests using with {doexplot} (Mustafa Cavus)
9. TrackJR: a new R-package using Julia language for tracking tiny insects (Gerardo de la vega, Federico Triñanes, Andres Gonzalez Ritzel)
10. shiny.fluent and shiny.react: Build Beautiful Shiny Apps Using Microsoft's Fluent UI (Marek Rogala)
11. Conducting Effective User Tests for Shiny Dashboards (Maria Grycuk)
12. NNcompare: An R package supporting the peer programming process in clinical studies (Mette Bendtsen, Steffen Falgreen Larsen, Frederik Vandvig Heinen, Claus Dethlefsen)
13. The evolution of the dependencies of CRAN packages (Clement Lee)
14. Bootstrapping Multilevel Models in R using lmeresampler (Adam Loy)
15. RCode, a new IDE for R (Nicolas Baradel, William Jouot)
16. R Package Validation and {valtools} (Ellis Hughes)
17. NetCoupler: Inferring causal pathways between high-dimensional metabolomics data and external factors (Luke W. Johnston, Clemens Wittenbecher, Fabian Eichelmann)
18. Continuously expanding Techguides: An open source project based on bookdown using CI/CD pipelines from GitHub Actions (Peter Schmid)
19. R as a an environment for the functional analysis of proteins (Michał Burdukiewicz)
20. Statistical Workflows in R for Imaging Mass Spectrometry Data (Hoang Tran, Valeriia Sherina, Fang Xie)
21. Hi, Let’s Talk About Data Science! - Customize Your Personal Data Science Assistant Bot. (Livia Eichenberger, Oliver Guggenbühl)
22. NNSampleSize: A tool for communicating, determining and documenting sample size in clinical trials (Claus Dethlefsen, Steffen Falgreen Larsen, Anders Ellern Bilgrau, Nynne Holdt-Caspersen, Maika Lindkvist Jensen)
23. pARI package: valid double-dipping via permutation-based All Resolutions Inference (Angela Andreella, Jelle Goeman, Livio Finos, Wouter Weeda, Jesse Hemerik)
24. Data Access and dynamic Visualization for Clinical Insights (DaVinci) (Matthias Trampisch, Julia Igel, Andre Haugg)
25. Reproducibility and dissemination in the research: a case of study of the bioaerosol dynamics (Jesús Rojo, Antonio Picornell, Jeroen Buters, Jose Oteros)
26. R in the aiR! (Adithi R. Upadhya, Pratyush Agrawal, Sreekanth Vakacherla, Meenakshi Kushwaha)
27. segmenter: A Wrapper for JAVA ChromHMM (Mahmoud Ahmed, Deok Ryong Kim)
28. Efficient list recursion in R with rrapply (Joris Chau)
29. An R package to flexibly generate simulation model flow diagrams (Andreas Handel, Andrew Tredennick)
30. Using R Markdown to Automate COVID-19 Reporting (Farzad Islam, Michael Elten, Najmus Saqib)
31. Cumulative Link Mixed-effects Models (CLMMs) as a tool to model ordinal response variables and incorporate random effects (Christophe Bousquet)
32. High dimensional data visualization in ggplot2 (Zehao Xu, Wayne Oldford)
33. Charting Covid with the DatawRappr-Package (Benedict Witzenberger)
34. Bringing AutoDiff to R packages (Michael Komodromos)
35. Healthier &amp; Happier Hands: Software and Hardware Solutions for More Ergonomic Typing (John Paul Helveston)
36. High Dimensional Penalized Generalized Linear Mixed Models: The glmmPen R Package (Hillary M. Heiling, Naim U. Rashid, Quefeng Li, Joseph G. Ibrahim)
37. trackdown: collaborative writing and editing your R Markdown and Sweave documents in Google Drive (Filippo Gambarota, Claudio Zandonella Callegher, Janosch Linkersdörfer, Mathew Ling, Emily Kothe)
38. Multivariate functional data analysis (Manuel Oviedo-de la Fuente, Manuel Febrero-Bande)
39. Multivariate functional principal component analysis on high dimensional gait data (Sajal Kaur Minhas, Morgan Sangeux, Julia Polak, Michelle Carey)
40. Teaching an introductory programming course with R (Reto Stauffer, Joanna Chimiak-Opoka, Luis M Rodriguez-R, Achim Zeileis)
41. Landscape of R packages for eXplainable Artificial Intelligence (Szymon Maksymiuk, Alicja Gosiewska, Przemysław Biecek)
42. Reactive PK/PD: An R shiny application simplifying the PK/PD review process (Kristoffer Segerstrøm Mørk, Steffen Falgreen Larsen)
43. r-cubed: Guiding the overwhelmed scientist from random wrangling to Reproducible Research in R (Hannah Chatwin, Luke W. Johnston, Helene Baek Juel, Bettina Lengger, Daniel R. Witte, Malene Revsbech Christiansen, Anders Aasted Isaksen)
44. Validate observations stored in a DB (Edwin de Jonge)
45. Teaching Biology students to code smoothly with learnR and gradethis (Guyliann Engels, Philippe Grosjean)
46. Partial Least Squares Regression for Beta Regression Models (Frederic Bertrand, Myriam Maumy)
47. Simpler is Better: Lifting Interpretability-Performance Trade-off via Automated Feature Engineering (Alicja Gosiewska, Anna Kozak, Przemysław Biecek)
48. State of the Market - Infinite State Hidden Markov Models (Dean Markwick)
49. networkABC: Network Reverse Engineering with Approximate Bayesian Computation (Myriam Maumy, Frederic Bertrand)
50. Navigating Insurance Claim Data Through Tidymodels Universe (Lok, Jun Haur; Kam, Tin Seong)",EP,EP2
2021,Panel: R User or R Developer? This is the question!,Panels and incubators,UseR! 2021,UseR! 2021,"Vitalini, Francesca",The Lounge #panel_user_developer,"Since its first official release back in 1995, R has outgrown its statistician-tool origin, spreading out to different fields. A key factor in R’s popularity is without a doubt its approachability for people without a software engineering background.

  
As a result, R is often considered more as a scripting / prototyping / data analytics tool than a proper software development language. Thanks to its low barrier and accessibility, however, people with a wide variety of (non-technical) backgrounds can quickly become active and effective users. This in turn can set the ground for exploring and building up programming and development skills, transitioning towards what is normally associated with software engineering profiles.

  
This raises some questions: what does it mean to be an R user? Is there such a thing as an R developer, and (how) does it differ from being an R user? In this time where IT skills are required across virtually every domain, can an R user afford not to be a software engineer as well? What is (and does it even exist) the R equivalent of the Python stack developer? What type of background and expertise should an R user have to fit what companies are looking for? And what about academia? What is the current trend?

  
We will discuss these questions in a panel featuring the point of view of:

  
- 
- experts from both industry and academia,
- data scientists who have made the transition from R users to software developers,
- R Core team,

  
and of course the Community perspective.",Other,Panel: R User or R Developer? This is the question!
2021,Incubator: The role of the R community in the RSE movement,Panels and incubators,UseR! 2021,UseR! 2021,"Seibold, Heidi; Turner, Heather; Bannert, Matt",The Lounge #incubator_rse,"The term """"Research Software Engineer""""(RSE) was proposed by a group of software developers working in academia at a workshop in Oxford, UK, 2012. It was the beginning of a grass-roots movement to establish Research Software Engineering as a profession for people that combined expertise in programming with an intricate understanding of research. Since then, the movement has grown substantially, leading to recognition, reward and career opportunities for RSEs and the creation of national RSE associations in Australia/New Zealand, Belgium, Germany, the Netherlands, the Nordic region, the UK and the USA.

  
This incubator will provide an opportunity to discuss the role of the R community in the RSE movement. What can we share with this wider community? How can we help the movement grow? What could the R community gain from this movement? We will identify a range of actions from quick wins to more ambitious projects that could be pursued after useR! 2021.",Community and Outreach,Incubator: The role of the R community in the RSE movement
2021,Developing a datasets based R package to teach environmental data science,Regular talks > Track A,UseR! 2021,UseR! 2021,"Horst, Allison",The Lounge #talk_teaching,"There are many openly available environmental datasets out there. However, it is time and energy consuming for teachers to identify, explore and clean complex datasets for use in environmental data science classes. As the success (&gt;60k downloads) of the recent palmerpenguins R package demonstrates, there is strong demand and interest in curated real-world datasets ready to be used “out of the box” for data science teaching purposes. In this project, our goal was to develop a sample dataset and an associated analytical example for every site of the Long Term Ecological Research (LTER) network. This network, founded by the US National Science Foundation, is made of 30 sites where both observational and experimental environmental data sets are collected with a long-term perspective, and thus provide a treasure trove of interesting, real-world environmental data. All of those resources have been combined into one R package. R packages are an ideal vehicle for teaching datasets because R is widely used in environmental research communities and degree programs, and packages can be installed in one command. In addition, the R Markdown ecosystem provides a suite of tools to publish the documentation and examples as a website to expose all the pedagogic content to non-R users as well. We relied on the package structure to develop a reproducible workflow to ingest and document the LTER data. We also wanted to share the code necessary to access the full dataset to enable further investigation of more complex datasets. In this presentation, we will explain our process to design this R package and provide a set of analysis examples for environmental data science teaching purposes.",Teaching R/R in Teaching,5A - Teaching R and R in Teaching
2021,maars: Tidy Inference under misspecified statistical models in R,Regular talks > Track B,UseR! 2021,UseR! 2021,"Fogliato, Riccardo; Shrotriya, Shamindra",The Lounge #talk_math_stats,"Linear regression using ordinary least squares (OLS) is a critical part of every statistician's toolkit. In R, this is elegantly implemented via lm() and its related functions. However, the statistical inference output from this suite of functions is based on the assumption that the model is well specified. This assumption is often unrealistic and at best satisfied approximately. In the statistics and econometric literature, this has long been recognized and a large body of work provides inference for OLS under more practical assumptions (e.g., only assuming independence of the observations). In this talk, we will introduce our package “maars” (models as approximations) that aims at bringing research on inference in misspecified models to R via a comprehensive workflow. Our """"maars"""" package differs from other packages that also implement variance estimation, such as “sandwich”, in three key ways. First, all functions in “maars” follow a consistent grammar and return output in tidy format (Wickham, 2014), with minimal deviation from the typical lm() workflow. Second, “maars'' contains several tools for inference including empirical, wild, residual bootstrap, and subsampling. Third, “maars” is developed with pedagogy in mind. For this, most of its functions explicitly return the assumptions under which the output is valid. This key innovation makes “maars” useful in teaching inference under misspecification and also a powerful tool for applied researchers. We hope our default feature of explicitly presenting assumptions will become a de facto standard for most statistical modeling in R.","Data mining / Machine learning / Deep Learning and AI, Operational research and optimization, Statistical models",5B - Mathematical/Statistical Methods
2021,Using R as a Community Workbench for The Carpentries Lesson Infrastructure,Regular talks > Track A,UseR! 2021,UseR! 2021,"Kamvar, Zhian N.",The Lounge #talk_teaching,"The Carpentries is a global community of volunteers that collaboratively develops and delivers lessons to build capacity in data and coding skills (in R and multiple other languages) to researchers worldwide. For the past five years, our collaboratively-developed lesson template (<https://github.com/carpentries/styles/>) has been the basis for our growing collection of peer-reviewed lesson content. This template was fully self-contained with all the tools and styles needed to create a full lesson website. While the lessons themselves were designed to be easy to author, there were two significant barriers in our toolchain for contributors: software installation and style updating. As our lesson repertoire and community has continued to grow, this template model has not scaled well, resulting in barriers to entry and wasted volunteer time. In 2020 we began the process to redesign our template from the ground up using a combination of R’s literate programming ecosystem and GitHub Workflows, resulting in three R packages called {sandpaper}, {pegboard}, and {varnish} for handling, validating, and styling lessons. The new approach separates the content from the tools and style, allowing for seamless updates so the maintainers can focus on authoring their lessons and not on the tools needed to build them. To accommodate the wide array of diverse skill sets in our community, we wanted to ensure the tools could be used by anyone without any prior knowledge of R. We will detail how we involved our community in iterated development of the new template with user stories, passive community feedback, community member interviews, and user experience testing. In the end, we will show how the wide array of tools available in the R ecosystem makes it easy for us to rebuild our lesson infrastructure in a way that significantly reduces the barrier for entry for our community volunteers.",Teaching R/R in Teaching,5A - Teaching R and R in Teaching
2021,"Mixed Integer Evolutionary Strategies with \""\""miesmuschel\""\""",Regular talks > Track B,UseR! 2021,UseR! 2021,"Binder, Martin",The Lounge #talk_math_stats,"Evolutionary Strategies (ES) are optimization algorithms inspired by biological evolution that do not make use of gradient information, and are therefore well-suited for """"black-box optimization"""" where this information is not available. Mixed-Integer ES (MIES) are an extension that allow optimization of mixed continuous, integer, and categorical search spaces by defining different mutation and recombination operations on different subspaces. We present our new package """"miesmuschel"""" (pronounced MEES-mooshl), a modular toolbox for MIES optimization. It provides """"Operator"""" objects for mutation, recombination, and parent/survival selection that can be configured and combined in various ways to match the optimization problem at hand. Configuration parameters of operators can even be self-adaptive and evolve together with the solutions of the optimization problem. Miesmuschel can be used for both single- and multi-objective optimization, simply by using different selection operations. The multi-fidelity optimization capabilities of miesmuschel can be used for expensive objectives where early generations or new samples are preliminarily evaluated with less effort.

  
A standard optimization loop (parent selection, recombination, mutation, survival selection) is given and can be used out-of-the-box, but the supplied methods can also be combined as building blocks to form more specialized algorithms.

  
Miesmuschel makes use of the """"paradox"""" and """"bbotk"""" packages and integrates with the """"mlr3"""" ecosystem.","Data mining / Machine learning / Deep Learning and AI, Operational research and optimization, Statistical models",5B - Mathematical/Statistical Methods
2021,Teaching and Learning Bayesian Statistics with {bayesrules},Regular talks > Track A,UseR! 2021,UseR! 2021,"Dogucu, Mine",The Lounge #talk_teaching,"Bayesian statistics is becoming more popular in data science. Data scientists are often not trained in Bayesian statistics and if they are, it is usually part of their graduate training. During this talk, we will introduce an introductory course in Bayesian statistics for learners at the undergraduate level and comparably trained practitioners. We will share tools for teaching (and learning) the first course in Bayesian statistics, specifically the {bayesrules} package that accompanies the open-access Bayes Rules! An Introduction to Bayesian Modeling with R book. We will provide an outline of the curriculum and examples for novice learners and their instructors.",Teaching R/R in Teaching,5A - Teaching R and R in Teaching
2021,Here is the anomolow-down!,Regular talks > Track B,UseR! 2021,UseR! 2021,"Kandanaarachchi, Sevvandi",The Lounge #talk_math_stats,"Why should we care about anomalies? They demand our attention because they are telling a different story from the norm. An anomaly might signify a failing heart rate of a patient, a fraudulent credit card activity, or an early indication of a tsunami. As such, it is extremely important to detect anomalies.

  
What are the challenges in anomaly detection? As with many machine/statistical learning tasks high dimensional data poses a problem. Another challenge is selecting appropriate parameters. Yet another challenge is high false positive rates.

  
In this talk we introduce two R packages – dobin and lookout – that address different challenges in anomaly detection. Dobin is a dimension reduction technique especially catered to anomaly detection. So, dobin is somewhat similar PCA; but dobin puts anomalies in the forefront. We can use dobin as a pre-processing step and find anomalies using fewer dimensions.

  
On the other hand, lookout is an anomaly detection method that uses kernel density estimates and extreme value theory. But there is a difference. Generally, anomaly detection methods that use kernel density estimates require a user-defined bandwidth parameter. But does the user know how to specify this elusive bandwidth parameter? Lookout addresses this challenge by constructing an appropriate bandwidth for anomaly detection using topological data analysis, so the user doesn’t need to specify a bandwidth parameter. Furthermore, lookout has a low false positive rate because it uses extreme value theory.

  
We also introduce the concept of anomaly persistence, which explores the birth and death of anomalies as the bandwidth changes. If a data point is identified as an anomaly for a large range of bandwidth values, then its significance as an anomaly is high.","Data mining / Machine learning / Deep Learning and AI, Operational research and optimization, Statistical models",5B - Mathematical/Statistical Methods
2021,Building and maintaining OpenIntro using the R ecosystem,Regular talks > Track A,UseR! 2021,UseR! 2021,"Cetinkaya-Rundel, Mine",The Lounge #talk_teaching,"OpenIntro's (openintro.org) mission is to make educational products that are free and transparent and that lower barriers to education. The products include textbooks (in print and online), supporting resources for instructors as well as for students. From day one, OpenIntro materials have been built using tools within the R ecosystem. In this talk we will discuss how the OpenIntro project has shaped and grown over the years, our process for developing and publishing open-source textbooks at the high school and college level, and our computing resources such as interactive R tutorials and R packages as well as labs in various languages. We will highlight recent workflows we have developed and lessons learned for converting books from LaTeX to bookdown and give an overview of our project organization and tooling for authoring, collaboration, and maintenance, much of which is built with R, R Markdown, Git, and GitHub. Finally, we will discuss opportunities for getting involved for educators and students contributing to the development of open-source educational resources under the OpenIntro umbrella and beyond.",Teaching R/R in Teaching,5A - Teaching R and R in Teaching
2021,Questions,Regular talks > Track B,UseR! 2021,UseR! 2021,All presenters in the session,The Lounge #talk_math_stats,Last questions for all the speakers,Community and Outreach,5B - Mathematical/Statistical Methods
2021,Questions,Regular talks > Track A,UseR! 2021,UseR! 2021,All presenters in the session,The Lounge #talk_teaching,Last questions for all the speakers,Community and Outreach,5A - Teaching R and R in Teaching
2021,Incubator: Strategies to build a strong AsiaR Community,Panels and incubators,UseR! 2021,UseR! 2021,"Upadhya, Adithi R.; Ravi, Dr. Janani",The Lounge #panel_asian,"R has been a very inclusive community and collective learning has always helped, with many users of R in Asian countries we can as well have a strongly knit community for R’s users. Inspired by the MENA (Middle East and North Africa) R, AfricaR, and LatinR user groups, we propose a similar panel discussion to connect and strengthen the R community in Asia. We aim to target participants who are active R users and/or learners who have not been engaged with any R community and we want to invite panelists who are successful R developers/educators/community leaders in various Asian countries. Our goal is to build a diverse and vibrant R community within Asia. We wish to connect Asian useRs to each other, identify Asian R speakers/participants and facilitate regular webinars, workshops. We want to address the lower participation of Asian, specially Asian Underrepresented Minorities in local meetups and international conferences like useR! 2021, discuss and learn about best practices for nucleating and sustaining an engaged community. We also would like to understand how people from various backgrounds and organisations engage the community for assistance. We also wish to build a strong enough community to host a AsiaR conference in the upcoming years.",Community and Outreach,Panel: Strategies to build a strong AsiaR Community
